name,gender,score,emails,country,group,bxl building id,bxl building name,bxl floor,bxl office number,bxl fax,bxl phone1,bxl phone2,stg building id,stg building name,stg floor,stg office number,stg fax,stg phone1,stg phone2
Sandrine BÉLIER,F,68,sandrine.belier@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,G317,+322 28 49150,+322 28 45150,+322 28 47150,LOW,Louise Weiss,T05,067,+333 88 1 79150,+333 88 1 75150,+333 88 1 77150
Malika BENARAB-ATTOU,F,68,malika.benarab-attou@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,G318,+322 28 49876,+322 28 45876,+322 28 47876,LOW,Louise Weiss,T05,069,+333 88 1 79876,+333 88 1 75876,+333 88 1 77876
Jean-Paul BESSET,M,68,jean-paul.besset@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,G210,+322 28 49348,+322 28 45348,+322 28 47348,LOW,Louise Weiss,T05,093,+333 88 1 79348,+333 88 1 75348,+333 88 1 77348
Virginio BETTINI,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Jean-Jacob BICEP,M,61,jean-jacob.bicep@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,06,E258,+322 28 49358,+322 28 45358,+322 28 47358,LOW,Louise Weiss,T09,045,+333 88 1 79358,+333 88 1 75358,+333 88 1 77358
Bruno BOISSIÈRE,M,,,France,Greens/EFA,,,,,,,,,,,,,,
José BOVÉ,M,67,jose.bove@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,H354,+322 28 49352,+322 28 45352,+322 28 47352,LOW,Louise Weiss,T05,046,+333 88 1 79352,+333 88 1 75352,+333 88 1 77352
Hiltrud BREYER,F,70,hiltrud.breyer@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,G265,+32 2 28 49 287,+32 2 28 45 287,+32 2 28 47 287,LOW,Louise Weiss,T05,093,+33 3 88 179 287,+33 3 88 175 287,+33 3 88 177 287
Reinhard BÜTIKOFER,M,62,reinhard.buetikofer@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,G302,+322 28 49816,+322 28 45816,+322 28 47816,LOW,Louise Weiss,T05,064,+333 88 1 79816,+333 88 1 75816,+333 88 1 77816
Giorgio CELLI,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Nikos CHRYSOGELOS,M,61,nikos.chrysogelos@europarl.europa.eu,Greece,Greens/EFA,ASP,Altiero Spinelli,08,H247,+322 28 49402,+322 28 45402,+322 28 47402,LOW,Louise Weiss,T05,059,+333 88 1 79402,+333 88 1 75402,+333 88 1 77402
Yves COCHET,M,59,yves.cochet@europarl.europa.eu - ycochet@assemblee-nationale.fr,France,Greens/EFA,ASP,Altiero Spinelli,08,G218,+322 28 49931,+322 28 45931,+322 28 47931,LOW,Louise Weiss,T05,042,+333 88 1 79931,+333 88 1 75931,+333 88 1 77931
Daniel COHN-BENDIT,M,81,daniel.cohn-bendit@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,G205,+322 28 49498,+322 28 45498,+322 28 47498,LOW,Louise Weiss,T06,002,+333 88 1 79498,+333 88 1 75498,+333 88 1 77498
Renée CONAN,F,,,France,Greens/EFA,,,,,,,,,,,,,,
Francesco CORLEONE,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Marije CORNELISSEN,F,68,marije.cornelissen@europarl.europa.eu,Netherlands,Greens/EFA,ASP,Altiero Spinelli,07,H161,+322 28 49360,+322 28 45360,+322 28 47360,LOW,Louise Weiss,T05,121,+333 88 1 79360,+333 88 1 75360,+333 88 1 77360
Michael CRAMER,M,79,michael.cramer@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,G104,+322 28 49779,+322 28 45779,+322 28 47779,LOW,Louise Weiss,T05,115,+333 88 1 79779,+333 88 1 75779,+333 88 1 77779
Tarja CRONBERG,F,61,tarja.cronberg@europarl.europa.eu,Finland,Greens/EFA,ASP,Altiero Spinelli,08,G301,+322 28 49374,+322 28 45374,+322 28 47374,LOW,Louise Weiss,T12,053,+333 88 1 79374,+333 88 1 75374,+333 88 1 77374
Birgit CRAMON DAIBER,F,,,Germany,Greens/EFA,,,,,,,,,,,,,,
Karima DELLI,F,67,karima.delli@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,H342,+322 28 49362,+322 28 45362,+322 28 47362,LOW,Louise Weiss,T05,065,+333 88 1 79362,+333 88 1 75362,+333 88 1 77362
Mark DEMESMAEKER,M,,mark.demesmaeker@europarl.europa.eu,Belgium,Greens/EFA,ASP,Altiero Spinelli,08,H141,+322 28 49862,+322 28 45862,+322 28 47862,LOW,Louise Weiss,T05,080,+333 88 1 79862,+333 88 1 75862,+333 88 1 77862
Marguerite-Marie DINGUIRARD,F,,,France,Greens/EFA,,,,,,,,,,,,,,
Isabelle DURANT,F,68,isabelle.durant@europarl.europa.eu,Belgium,Greens/EFA,ASP,Altiero Spinelli,08,G354,+322 28 49363,+322 28 45363,+322 28 47363,LOW,Louise Weiss,T12,055,+333 88 1 79363,+333 88 1 75363,+333 88 1 77363
Marie-Françoise DUTHU,F,,,France,Greens/EFA,,,,,,,,,,,,,,
Bas EICKHOUT,M,68,bas.eickhout@europarl.europa.eu,Netherlands,Greens/EFA,ASP,Altiero Spinelli,07,H149,+322 28 49365,+322 28 45365,+322 28 47365,LOW,Louise Weiss,T05,123,+333 88 1 79365,+333 88 1 75365,+333 88 1 77365
Christian ENGSTRÖM,M,68,christian.engstroem@europarl.europa.eu,Sweden,Greens/EFA,ASP,Altiero Spinelli,08,G153,+322 28 49368,+322 28 45368,+322 28 47368,LOW,Louise Weiss,T05,055,+333 88 1 79368,+333 88 1 75368,+333 88 1 77368
Jill EVANS,F,92,Jill.evans@europarl.europa.eu,United Kingdom,Greens/EFA,ASP,Altiero Spinelli,08,H153,+322 28 49103,+322 28 45103,+322 28 47103,LOW,Louise Weiss,T05,139,+333 88 1 79103,+333 88 1 75103,+333 88 1 77103
Enrico FALQUI,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Solange FERNEX,F,,,France,Greens/EFA,,,,,,,,,,,,,,
Hélène FLAUTRE,F,92,helene.flautre@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,G130,+322 28 49364,+322 28 45364,+322 28 47364,LOW,Louise Weiss,T05,085,+333 88 1 79364,+333 88 1 75364,+333 88 1 77364
Yves FRÉMION,M,,,France,Greens/EFA,,,,,,,,,,,,,,
Magda G.H. AELVOET,F,,,Belgium,Greens/EFA,,,,,,,,,,,,,,
Per GAHRTON,M,,per.gahrton@mp.se,Sweden,Greens/EFA,,,,,,,,,,,,,,
Sven GIEGOLD,M,68,sven.giegold@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,G209,+322 28 49369,+322 28 45369,+322 28 47369,LOW,Louise Weiss,T05,072,+333 88 1 79369,+333 88 1 75369,+333 88 1 77369
Catherine GRÈZE,F,68,catherine.greze@europarl.europa.eu - cgreze@lesverts.fr,France,Greens/EFA,ASP,Altiero Spinelli,08,H346,+322 28 49370,+322 28 45370,+322 28 47370,LOW,Louise Weiss,T05,044,+333 88 1 79370,+333 88 1 75370,+333 88 1 77370
Didier H.M.F. ANGER,M,,,France,Greens/EFA,,,,,,,,,,,,,,
Gerald HÄFNER,M,68,gerald.haefner@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,G269,+322 28 49372,+322 28 45372,+322 28 47372,LOW,Louise Weiss,T05,074,+333 88 1 79372,+333 88 1 75372,+333 88 1 77372
Rebecca HARMS,F,85,rebecca.harms@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,G202,+322 28 49695,+322 28 45695,+322 28 47695,LOW,Louise Weiss,T05,062,+333 88 1 79695,+333 88 1 75695,+333 88 1 77695
Satu HASSI,F,92,satu.hassi@europarl.europa.eu,Finland,Greens/EFA,ASP,Altiero Spinelli,08,G351,+322 28 49437,+322 28 45437,+322 28 47437,LOW,Louise Weiss,T05,056,+333 88 1 79437,+333 88 1 75437,+333 88 1 77437
Martin HÄUSLING,M,67,martin.haeusling@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,H255,+322 28 49820,+322 28 45820,+322 28 47820,LOW,Louise Weiss,T05,076,+333 88 1 79820,+333 88 1 75820,+333 88 1 77820
Ulf HOLM,M,,,Sweden,Greens/EFA,,,,,,,,,,,,,,
Ian HUDGHTON,M,90,ian.hudghton@europarl.europa.eu,United Kingdom,Greens/EFA,ASP,Altiero Spinelli,08,H161,+322 28 49499,+322 28 45499,+322 28 47499,LOW,Louise Weiss,T05,137,+333 88 1 79499,+333 88 1 75499,+333 88 1 77499
Iñaki IRAZABALBEITIA FERNÁNDEZ,M,,inaki.irazabalbeitia@europarl.europa.eu,Spain,Greens/EFA,,,,,,,,,,,,,,
Theodorus J.J. BOUWMAN,M,,,Netherlands,Greens/EFA,,,,,,,,,,,,,,
Yannick JADOT,M,68,yannick.jadot@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,G346,+322 28 49375,+322 28 45375,+322 28 47375,LOW,Louise Weiss,T05,073,+333 88 1 79375,+333 88 1 75375,+333 88 1 77375
Claire JOANNY,F,,,France,Greens/EFA,,,,,,,,,,,,,,
Eva JOLY,F,68,eva.joly@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,H353,+322 28 49376,+322 28 45376,+322 28 47376,LOW,Louise Weiss,T12,028,+333 88 1 79376,+333 88 1 75376,+333 88 1 77376
Andis KĀPOSTS,M,,,Latvia,Greens/EFA,,,,,,,,,,,,,,
Franziska KELLER,F,64,franziska.keller@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,H242,+322 28 49379,+322 28 45379,+322 28 47379,LOW,Louise Weiss,T05,070,+333 88 1 79379,+333 88 1 75379,+333 88 1 77379
Hugh KERR,M,,,United Kingdom,Greens/EFA,,,,,,,,,,,,,,
Gorka KNÖRR BORRÀS,M,,,Spain,Greens/EFA,,,,,,,,,,,,,,
Jean LAMBERT,F,90,jean.lambert@europarl.europa.eu,United Kingdom,Greens/EFA,ASP,Altiero Spinelli,08,G107,+322 28 49507,+322 28 45507,+322 28 47507,LOW,Louise Weiss,T05,087,+333 88 1 79507,+333 88 1 75507,+333 88 1 77507
Philippe LAMBERTS,M,68,philippe.lamberts@europarl.europa.eu,Belgium,Greens/EFA,ASP,Altiero Spinelli,08,G257,+322 28 49388,+322 28 45388,+322 28 47388,LOW,Louise Weiss,T05,063,+333 88 1 79388,+333 88 1 75388,+333 88 1 77388
Alexander LANGER,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Paul A.A.J.G. LANNOYE,M,,,Belgium,Greens/EFA,,,,,,,,,,,,,,
Juan Manuel FERRÁNDEZ LEZAUN,M,,,Spain,Greens/EFA,,,,,,,,,,,,,,
Eva LICHTENBERGER,F,91,eva.lichtenberger@europarl.europa.eu,Austria,Greens/EFA,ASP,Altiero Spinelli,08,G157,+322 28 49139,+322 28 45139,+322 28 47139,LOW,Louise Weiss,T05,119,+333 88 1 79139,+333 88 1 75139,+333 88 1 77139
MaLou LINDHOLM,F,,,Sweden,Greens/EFA,,,,,,,,,,,,,,
Barbara LOCHBIHLER,F,68,barbara.lochbihler@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,H156,+322 28 49392,+322 28 45392,+322 28 47392,LOW,Louise Weiss,T05,078,+333 88 1 79392,+333 88 1 75392,+333 88 1 77392
Isabella LÖVIN,F,56,isabella.loevin@europarl.europa.eu,Sweden,Greens/EFA,ASP,Altiero Spinelli,08,G116,+322 28 49394,+322 28 45394,+322 28 47394,LOW,Louise Weiss,T05,117,+333 88 1 79394,+333 88 1 75394,+333 88 1 77394
Ulrike LUNACEK,F,68,ulrike.lunacek@europarl.europa.eu,Austria,Greens/EFA,ASP,Altiero Spinelli,08,G169,+322 28 49395,+322 28 45395,+322 28 47395,LOW,Louise Weiss,T05,061,+333 88 1 79395,+333 88 1 75395,+333 88 1 77395
Nelly MAES,F,,,Belgium,Greens/EFA,,,,,,,,,,,,,,
Noël MAMÈRE,M,,n.mamere.circo@gmail.com - nmamere@assemblee-nationale.fr,France,Greens/EFA,,,,,,,,,,,,,,
Bernat JOAN I MARÍ,M,,,Spain,Greens/EFA,,,,,,,,,,,,,,
Patricia MCKENNA,F,,,Ireland,Greens/EFA,,,,,,,,,,,,,,
Eugenio MELANDRI,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Raina A. MERCEDES ECHERER,F,,,Austria,Greens/EFA,,,,,,,,,,,,,,
Reinhold MESSNER,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Juan María BANDRÉS MOLET,M,,,Spain,Greens/EFA,,,,,,,,,,,,,,
Enric MORERA CATALÀ,M,,,Spain,Greens/EFA,,,,,,,,,,,,,,
Edith MÜLLER,F,,,Germany,Greens/EFA,,,,,,,,,,,,,,
Nicole KIIL-NIELSEN,F,68,nicole.kiil-nielsen@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,H267,+322 28 49381,+322 28 45381,+322 28 47381,LOW,Louise Weiss,T05,071,+333 88 1 79381,+333 88 1 75381,+333 88 1 77381
Carlos BAUTISTA OJEDA,M,,,Spain,Greens/EFA,,,,,,,,,,,,,,
Leoluca ORLANDO,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Gérard P.M.J. MONNIER-BESOMBES,M,,,France,Greens/EFA,,,,,,,,,,,,,,
Yves PIÉTRASANTA,M,,,France,Greens/EFA,,,,,,,,,,,,,,
Eva-Maria QUISTORP,F,,,Germany,Greens/EFA,,,,,,,,,,,,,,
Jean-Pierre RAFFIN,M,,,France,Greens/EFA,,,,,,,,,,,,,,
Miquel MAYOL I RAYNAL,M,,,Spain,Greens/EFA,,,,,,,,,,,,,,
Michèle RIVASI,F,67,michele.rivasi@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,G309,+322 28 49397,+322 28 45397,+322 28 47397,LOW,Louise Weiss,T05,040,+333 88 1 79397,+333 88 1 75397,+333 88 1 77397
Didier ROD,M,,,France,Greens/EFA,,,,,,,,,,,,,,
Camilo NOGUEIRA ROMÁN,M,,,Spain,Greens/EFA,,,,,,,,,,,,,,
Edoardo RONCHI,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Alexander de ROO,M,,,Netherlands,Greens/EFA,,,,,,,,,,,,,,
Claudia ROTH,F,,,Germany,Greens/EFA,,,,,,,,,,,,,,
Raül ROMEVA I RUEDA,M,93,raul.romevairueda@europarl.europa.eu,Spain,Greens/EFA,ASP,Altiero Spinelli,08,G253,+322 28 49645,+322 28 45645,+322 28 47645,LOW,Louise Weiss,T05,048,+333 88 1 79645,+333 88 1 75645,+333 88 1 77645
Heide RÜHLE,F,87,heide.ruehle@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,G165,+322 28 49609,+322 28 45609,+322 28 47609,LOW,Louise Weiss,T05,129,+333 88 1 79609,+333 88 1 75609,+333 88 1 77609
Judith SARGENTINI,F,68,judith.sargentini@europarl.europa.eu,Netherlands,Greens/EFA,ASP,Altiero Spinelli,07,H153,+322 28 49881,+322 28 45881,+322 28 47881,LOW,Louise Weiss,T05,127,+333 88 1 79881,+333 88 1 75881,+333 88 1 77881
Carl SCHLYTER,M,87,carl.schlyter@europarl.europa.eu,Sweden,Greens/EFA,ASP,Altiero Spinelli,08,G115,+322 28 49273,+322 28 45273,+322 28 47273,LOW,Louise Weiss,T05,131,+333 88 1 79273,+333 88 1 75273,+333 88 1 77273
Inger SCHÖRLING,F,,,Sweden,Greens/EFA,,,,,,,,,,,,,,
Elisabeth SCHROEDTER,F,92,elisabeth.schroedter@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,G310,+322 28 49234,+322 28 45234,+322 28 47234,LOW,Louise Weiss,T05,133,+333 88 1 79234,+333 88 1 75234,+333 88 1 77234
Werner SCHULZ,M,65,werner.schulz@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,H259,+322 28 49399,+322 28 45399,+322 28 47399,LOW,Louise Weiss,T05,050,+333 88 1 79399,+333 88 1 75399,+333 88 1 77399
Alyn SMITH,M,90,alyn.smith@europarl.europa.eu,United Kingdom,Greens/EFA,ASP,Altiero Spinelli,08,H149,+322 28 49187,+322 28 45187,+322 28 47187,LOW,Louise Weiss,T05,135,+333 88 1 79187,+333 88 1 75187,+333 88 1 77187
Juris SOKOLOVSKIS,M,,,Latvia,Greens/EFA,,,,,,,,,,,,,,
Irene Barbara Lilia SOLTWEDEL-SCHÄFER,F,,,Germany,Greens/EFA,,,,,,,,,,,,,,
Patsy SÖRENSEN,F,,,Belgium,Greens/EFA,,,,,,,,,,,,,,
Paul M.J. STAES,M,,,Belgium,Greens/EFA,,,,,,,,,,,,,,
Bart STAES,M,84,bart.staes@europarl.europa.eu,Belgium,Greens/EFA,ASP,Altiero Spinelli,07,H145,+322 28 49642,+322 28 45642,+322 28 47642,LOW,Louise Weiss,T05,125,+333 88 1 79642,+333 88 1 75642,+333 88 1 77642
Gianni TAMINO,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Indrek TARAND,M,67,indrek.tarand@europarl.europa.eu,Estonia,Greens/EFA,ASP,Altiero Spinelli,08,G265,+322 28 49401,+322 28 45401,+322 28 47401,LOW,Louise Weiss,T05,057,+333 88 1 79401,+333 88 1 75401,+333 88 1 77401
Rui TAVARES,M,67,rui.tavares@europarl.europa.eu,Portugal,Greens/EFA,ASP,Altiero Spinelli,08,H254,+322 28 49652,+322 28 45652,+322 28 47652,LOW,Louise Weiss,T05,006,+333 88 1 79652,+333 88 1 75652,+333 88 1 77652
Keith TAYLOR,M,68,keith.taylor@europarl.europa.eu,United Kingdom,Greens/EFA,ASP,Altiero Spinelli,08,G103,+322 28 49153,+322 28 45153,+322 28 47153,LOW,Louise Weiss,T05,089,+333 88 1 79153,+333 88 1 75153,+333 88 1 77153
Djida TAZDAÏT,F,,,France,Greens/EFA,,,,,,,,,,,,,,
Wilfried TELKÄMPER,M,,,Germany,Greens/EFA,,,,,,,,,,,,,,
Alima BOUMEDIENE-THIERY,F,,,France,Greens/EFA,,,,,,,,,,,,,,
Helga TRÜPEL,F,80,helga.truepel@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,H243,+322 28 49140,+322 28 45140,+322 28 47140,LOW,Louise Weiss,T05,091,+333 88 1 79140,+333 88 1 75140,+333 88 1 77140
Claude TURMES,M,92,,Luxembourg,Greens/EFA,ASP,Altiero Spinelli,08,G108,+322 28 49246,+322 28 45246,+322 28 47246,LOW,Louise Weiss,T05,113,+333 88 1 79246,+333 88 1 75246,+333 88 1 77246
Brigitte U.J.M.J.G. ERNST DE LA GRAETE,F,,,Belgium,Greens/EFA,,,,,,,,,,,,,,
Wolfgang ULLMANN,M,,,Germany,Greens/EFA,,,,,,,,,,,,,,
Nel B.M. VAN DIJK,F,,,Netherlands,Greens/EFA,,,,,,,,,,,,,,
Luckas VANDER TAELEN,M,,,Belgium,Greens/EFA,,,,,,,,,,,,,,
Herman A. VERBEEK,M,,,Netherlands,Greens/EFA,,,,,,,,,,,,,,
Professor Sir Neil MacCORMICK ,M,,,United Kingdom,Greens/EFA,,,,,,,,,,,,,,
Undine-Uta BLOCH VON BLOTTNITZ,F,,,Germany,Greens/EFA,,,,,,,,,,,,,,
Dominique VOYNET,F,,,France,Greens/EFA,,,,,,,,,,,,,,
Antoine WAECHTER,M,,,France,Greens/EFA,,,,,,,,,,,,,,
Friedrich WOLF,M,,,Germany,Greens/EFA,,,,,,,,,,,,,,
Matti WUORI,M,,,Finland,Greens/EFA,,,,,,,,,,,,,,
Eurig WYN,M,,,United Kingdom,Greens/EFA,,,,,,,,,,,,,,
Tatjana ŽDANOKA,F,90,tatjana.zdanoka@europarl.europa.eu,Latvia,Greens/EFA,ASP,Altiero Spinelli,08,H144,+322 28 49912,+322 28 45912,+322 28 47912,LOW,Louise Weiss,T05,141,+333 88 1 79912,+333 88 1 75912,+333 88 1 77912
Karim ZÉRIBI,M,60,karim.zeribi@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,14,G253,+322 28 49928,+322 28 45928,+322 28 47928,LOW,Louise Weiss,T08,004,+333 88 1 79928,+333 88 1 75928,+333 88 1 77928
