country_short,website,fax_stg,group,name,twitter,Vice-Chair/0,url,country,image,email,Member/0,Member/1,group_short,score,facebook,tel_stg,party,tel_bxl,id,Substitute/0,Substitute/1,fax_bxl,Substitute/2,Substitute/3,Member/2,Member/3,Substitute/4,Member/4,Chair/0,Member/5,Substitute/5,Vice-Chair/1,Member/6,Member/7,Member/8,Member/9,Member/10,fax_optout,Substitute/6
bg,,+33388179608,Group of the Alliance of Liberals and Democrats for Europe,Nedzhmi ALI,,DKOR,http://www.europarl.europa.eu/meps/en/34250/NEDZHMI_ALI_home.html,Bulgaria,http://www.europarl.europa.eu/mepphoto/34250.jpg,nedzhmi.ali@europarl.europa.eu,BUDG,CONT,aldeadle,0.3,,+33388175608,Movement for Rights and Freedoms,+3222845608,34250,AFET,D-TR,+3222849608,,,,,,,,,,,,,,,,,
fr,http://louisaliot.eu,+33388179166,Non-attached Members,Louis ALIOT,louis_aliot,,http://www.europarl.europa.eu/meps/en/30190/LOUIS_ALIOT_home.html,France,http://www.europarl.europa.eu/mepphoto/30190.jpg,louis.aliot@europarl.europa.eu,DEVE,CONT,ni,0.3,,+33388175166,Front national,+3222845166,30190,REGI,D-ZA,+3222849166,,,DCAR,DACP,,,,,,,,,,,,,
fr,,+33388179282,Group of the European People's Party (Christian Democrats),Michèle ALLIOT-MARIE,malliotmarie,,http://www.europarl.europa.eu/meps/en/1179/MICHELE_ALLIOT-MARIE_home.html,France,http://www.europarl.europa.eu/mepphoto/1179.jpg,michele.alliot-marie@europarl.europa.eu,AFET,,epp,0.4,https://www.facebook.com/pages/Michèle-ALLIOT-MARIE/8320004742,+33388175282,Union pour un Mouvement Populaire,+3222845282,1179,EMPL,D-CN,+3222849282,,,,,,,DARP,,,,,,,,,,
gb,,+33388179496,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lucy ANDERSON,LucyAndersonMEP,,http://www.europarl.europa.eu/meps/en/124949/LUCY_ANDERSON_home.html,United Kingdom,http://www.europarl.europa.eu/mepphoto/124949.jpg,lucy.anderson@europarl.europa.eu,TRAN,D-RS,sd,0.44999999999999996,,+33388175496,Labour Party,+3222845496,124949,IMCO,D-JP,+3222849496,,,,,,,,,,,,,,,,,
gb,,+33388179222,Confederal Group of the European United Left - Nordic Green Left,Martina ANDERSON,MEPStandingUp4U,,http://www.europarl.europa.eu/meps/en/113959/MARTINA_ANDERSON_home.html,United Kingdom,http://www.europarl.europa.eu/mepphoto/113959.jpg,martina.anderson@europarl.europa.eu,LIBE,,guengl,0.15,,+33388175222,Sinn Fein,+3222845222,113959,REGI,AFCO,+3222849222,,,,,,,DPLC,,,,,,,,,,
se,http://www.maxandersson.nu,+33388179457,Group of the Greens/European Free Alliance,Max ANDERSSON,MaxAndersson,,http://www.europarl.europa.eu/meps/en/124994/MAX_ANDERSSON_home.html,Sweden,http://www.europarl.europa.eu/mepphoto/124994.jpg,max.andersson@europarl.europa.eu,JURI,D-CN,greensefa,0.15,,+33388175457,Miljöpartiet de gröna,+3222845457,124994,AFCO,D-TR,+3222849457,DEEA,,,,,,,,,,,,,,,,
fr,,+33388179170,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Eric ANDRIEU,ANDRIEU11,AGRI,http://www.europarl.europa.eu/meps/en/113892/ERIC_ANDRIEU_home.html,France,http://www.europarl.europa.eu/mepphoto/113892.jpg,eric.andrieu@europarl.europa.eu,DPAP,,sd,0.3,,+33388175170,Parti socialiste,+3222845170,113892,INTA,D-ZA,+3222849170,DACP,,,,,,,,,,,,,,,,
gr,http://www.androulakisnikos.gr/,+33388179340,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Nikos ANDROULAKIS,androulakisnick,,http://www.europarl.europa.eu/meps/en/125110/NIKOS_ANDROULAKIS_home.html,Greece,http://www.europarl.europa.eu/mepphoto/125110.jpg,nikos.androulakis@europarl.europa.eu,AFET,D-CN,sd,0.3,,+33388175340,Panhellenic Socialist Movement - Olive Tree,+3222845340,125110,ENVI,DROI,+3222849340,SEDE,DLAT,,,,,,,,,,,,,,,
be,,+33388179700,Non-attached Members,Gerolf ANNEMANS,gannemans,,http://www.europarl.europa.eu/meps/en/124973/GEROLF_ANNEMANS_home.html,Belgium,http://www.europarl.europa.eu/mepphoto/124973.jpg,gerolf.annemans@europarl.europa.eu,ECON,D-US,ni,0.3,,+33388175700,Vlaams Belang,+3222845700,124973,AFCO,TAXE,+3222849700,,,,,,,,,,,,,,,,,
be,http://www.arenablog.be,+33388179690,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Maria ARENA,Mariearenaps,,http://www.europarl.europa.eu/meps/en/124936/MARIA_ARENA_home.html,Belgium,http://www.europarl.europa.eu/mepphoto/124936.jpg,maria.arena@europarl.europa.eu,INTA,FEMM,sd,0.3,https://www.facebook.com/pages/Marie-Arena/109149719130331,+33388175690,Parti Socialiste,+3222845690,124936,EMPL,D-CN,+3222849690,,,DACP,,,,,,,,,,,,,,
be,http://www.pascal-arimont.eu/,+33388179778,Group of the European People's Party (Christian Democrats),Pascal ARIMONT,pascalarimont,,http://www.europarl.europa.eu/meps/en/24922/PASCAL_ARIMONT_home.html,Belgium,http://www.europarl.europa.eu/mepphoto/24922.jpg,pascal.arimont@europarl.europa.eu,REGI,DCAM,epp,0.6000000000000001,https://www.facebook.com/pascal.arimont.1,+33388175778,Christlich Soziale Partei,+3222845778,24922,ITRE,IMCO,+3222849778,DANZ,,DLAT,,,,,,,,,,,,,,
fr,http://arnautu.fr/,+33388179529,Non-attached Members,Marie-Christine ARNAUTU,MCArnautu,,http://www.europarl.europa.eu/meps/en/124748/MARIE-CHRISTINE_ARNAUTU_home.html,France,http://www.europarl.europa.eu/mepphoto/124748.jpg,marie-christine.arnautu@europarl.europa.eu,TRAN,D-MX,ni,0.3,https://www.facebook.com/arnautuMC,+33388175529,Front national,+3222845529,124748,EMPL,D-CA,+3222849529,,,DLAT,,,,,,,,,,,,,,
gb,,+33388179330,Europe of Freedom and Direct Democracy Group,Jonathan ARNOTT,JonathanArnott,,http://www.europarl.europa.eu/meps/en/124958/JONATHAN_ARNOTT_home.html,United Kingdom,http://www.europarl.europa.eu/mepphoto/124958.jpg,jonathan.arnott@europarl.europa.eu,BUDG,CONT,efd,0.35,,+33388175330,United Kingdom Independence Party,+3222845330,124958,,,+3222849330,,,,,,,,,,,,,,,,,
fr,,+33388179774,Group of the Alliance of Liberals and Democrats for Europe,Jean ARTHUIS,JeanArthuis,,http://www.europarl.europa.eu/meps/en/124773/JEAN_ARTHUIS_home.html,France,http://www.europarl.europa.eu/mepphoto/124773.jpg,jean.arthuis@europarl.europa.eu,D-IR,,aldeadle,0.3,,+33388175774,Union des Démocrates et Indépendants,+3222845774,124773,CONT,AGRI,+3222849774,D-AL,,,,,,BUDG,,,,,,,,,,
gb,,+33388179309,European Conservatives and Reformists Group,Richard ASHWORTH,RichardAshMEP,,http://www.europarl.europa.eu/meps/en/28132/RICHARD_ASHWORTH_home.html,United Kingdom,http://www.europarl.europa.eu/mepphoto/28132.jpg,richard.ashworth@europarl.europa.eu,BUDG,AGRI,ecr,0.1,,+33388175309,Conservative Party,+3222845309,28132,CONT,,+3222849309,,,DASE,,,,,,,,,,,,,,
pt,,+33388179435,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Francisco ASSIS,,,http://www.europarl.europa.eu/meps/en/28307/FRANCISCO_ASSIS_home.html,Portugal,http://www.europarl.europa.eu/mepphoto/28307.jpg,francisco.assis@europarl.europa.eu,AFET,DROI,sd,0.3,,+33388175435,Partido Socialista,+3222845435,28307,TRAN,D-BR,+3222849435,,,DLAT,,,,DMER,,,,,,,,,,
gb,,+33388179537,Europe of Freedom and Direct Democracy Group,Janice ATKINSON,JaniceUKIP,,http://www.europarl.europa.eu/meps/en/124938/JANICE_ATKINSON_home.html,United Kingdom,http://www.europarl.europa.eu/mepphoto/124938.jpg,janice.atkinson@europarl.europa.eu,,,efd,0.35,,+33388175537,United Kingdom Independence Party,+3222845537,124938,LIBE,,+3222849537,,,,,,,,,,,,,,,,,
dk,http://www.auken.dk,+33388179327,Group of the Greens/European Free Alliance,Margrete AUKEN,MargreteAuken,DPLC,http://www.europarl.europa.eu/meps/en/28161/MARGRETE_AUKEN_home.html,Denmark,http://www.europarl.europa.eu/mepphoto/28161.jpg,margrete.auken@europarl.europa.eu,ENVI,PETI,greensefa,0.15,http://www.facebook.com/?ref=home#!/pages/Margrete-Auken/36730930417,+33388175327,Socialistisk Folkeparti,+3222845327,28161,,,+3222849327,,,DMED,,,,,,,,,,,,,,
lt,http://www.petras.lt,+33388179611,Group of the Alliance of Liberals and Democrats for Europe,Petras AUŠTREVIČIUS,petras_petras,,http://www.europarl.europa.eu/meps/en/124766/PETRAS_AUSTREVICIUS_home.html,Lithuania,http://www.europarl.europa.eu/mepphoto/124766.jpg,petras.austrevicius@europarl.europa.eu,AFET,DROI,aldeadle,0.3,,+33388175611,Lietuvos Respublikos liberalų sąjūdis,+3222845611,124766,REGI,D-MD,+3222849611,DEPA,,,,,,D-AF,,,,,,,,,,
es,,+33388179508,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Inés AYALA SENDER,IAyalaSender,,http://www.europarl.europa.eu/meps/en/28292/INES_AYALA+SENDER_home.html,Spain,http://www.europarl.europa.eu/mepphoto/28292.jpg,ines.ayalasender@europarl.europa.eu,CONT,TRAN,sd,0.3,,+33388175508,Partido Socialista Obrero Español,+3222845508,28292,FEMM,SEDE,+3222849508,DMAS,DMED,DCAM,,DLAT,,,,,,,,,,,,
es,,+33388179398,Group of the European People's Party (Christian Democrats),Pilar AYUSO,ayuso_pilar,,http://www.europarl.europa.eu/meps/en/4319/PILAR_AYUSO_home.html,Spain,http://www.europarl.europa.eu/mepphoto/4319.jpg,pilar.ayuso@europarl.europa.eu,ENVI,D-CL,epp,0.4,https://www.facebook.com/pilar.ayuso1,+33388175398,Partido Popular,+3222845398,4319,AGRI,DCAM,+3222849398,,,DLAT,,,,,,,,,,,,,,
nl,http://www.hansvanbaalen.eu,+33388179615,Group of the Alliance of Liberals and Democrats for Europe,Johannes Cornelis van BAALEN,hans_van_baalen,,http://www.europarl.europa.eu/meps/en/96937/JOHANNES+CORNELIS_VAN+BAALEN_home.html,Netherlands,http://www.europarl.europa.eu/mepphoto/96937.jpg,hans.vanbaalen@europarl.europa.eu,AFET,SEDE,aldeadle,0.3,,+33388175615,Volkspartij voor Vrijheid en Democratie,+3222845615,96937,INTA,D-US,+3222849615,DACP,DLAT,,,,,D-ZA,,,,,,,,,,
lu,http://www.georgesbach.eu/,+33388179113,Group of the European People's Party (Christian Democrats),Georges BACH,,,http://www.europarl.europa.eu/meps/en/97293/GEORGES_BACH_home.html,Luxembourg,http://www.europarl.europa.eu/mepphoto/97293.jpg,georges.bach@europarl.europa.eu,TRAN,DEEA,epp,0.4,https://www.facebook.com/georges.bach.5,+33388175113,Parti chrétien social luxembourgeois,+3222845113,97293,EMPL,D-CA,+3222849113,,,,,,,,,,,,,,,,,
fr,,+33388179412,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Guillaume BALAS,BalasGuillaume,,http://www.europarl.europa.eu/meps/en/124744/GUILLAUME_BALAS_home.html,France,http://www.europarl.europa.eu/mepphoto/124744.jpg,guillaume.balas@europarl.europa.eu,EMPL,D-IQ,sd,0.3,,+33388175412,Parti socialiste,+3222845412,124744,ENVI,,+3222849412,,,,,,,,,,,,,,,,,
lt,http://www.balcytis.lt,+33388179427,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Zigmantas BALČYTIS,balcytis,DEPA,http://www.europarl.europa.eu/meps/en/96680/ZIGMANTAS_BALCYTIS_home.html,Lithuania,http://www.europarl.europa.eu/mepphoto/96680.jpg,zigmantas.balcytis@europarl.europa.eu,CONT,ITRE,sd,0.8,https://www.facebook.com/home.php#!/zigmantas.balcytis,+33388175427,Lietuvos socialdemokratų partija,+3222845427,96680,AFET,,+3222849427,,,D-CN,,,,,,,,,,,,,,
hu,,+33388179234,Non-attached Members,Zoltán BALCZÓ,,,http://www.europarl.europa.eu/meps/en/96877/ZOLTAN_BALCZO_home.html,Hungary,http://www.europarl.europa.eu/mepphoto/96877.jpg,zoltan.balczo@europarl.europa.eu,ENVI,D-RS,ni,0.3,,+33388175234,Jobbik Magyarországért Mozgalom,+3222845234,96877,REGI,D-RU,+3222849234,,,,,,,,,,,,,,,,,
de,http://www.burkhard-balz.eu,+33388179119,Group of the European People's Party (Christian Democrats),Burkhard BALZ,buba0769,,http://www.europarl.europa.eu/meps/en/96997/BURKHARD_BALZ_home.html,Germany,http://www.europarl.europa.eu/mepphoto/96997.jpg,burkhard.balz@europarl.europa.eu,ECON,TAXE,epp,0.4,https://www.facebook.com/burkhard.balz,+33388175119,Christlich Demokratische Union Deutschlands,+3222845119,96997,BUDG,D-JP,+3222849119,,,DASE,,,,,,,,,,,,,,
bg,,+33388179317,European Conservatives and Reformists Group,Nikolay BAREKOV,,,http://www.europarl.europa.eu/meps/en/124871/NIKOLAY_BAREKOV_home.html,Bulgaria,http://www.europarl.europa.eu/mepphoto/124871.jpg,nikolay.barekov@europarl.europa.eu,ITRE,D-IR,ecr,0.6,,+33388175317,Bulgaria without Censorship,+3222845317,124871,ENVI,DSCA,+3222849317,DEPA,,,,,,,,,,,,,,,,
gb,,+33388179319,European Conservatives and Reformists Group,Amjad BASHIR,AmjadBashirMEP,,http://www.europarl.europa.eu/meps/en/124956/AMJAD_BASHIR_home.html,United Kingdom,http://www.europarl.europa.eu/mepphoto/124956.jpg,amjad.bashir@europarl.europa.eu,AFET,DROI,ecr,0.1,,+33388175319,Conservative Party,+3222845319,124956,EMPL,DACP,+3222849319,,,DMAS,D-AF,,,,,,,,,,,,,
gb,,+33388179920,Europe of Freedom and Direct Democracy Group,Gerard BATTEN,GerardBattenMEP,,http://www.europarl.europa.eu/meps/en/28497/GERARD_BATTEN_home.html,United Kingdom,http://www.europarl.europa.eu/mepphoto/28497.jpg,gerard.batten@europarl.europa.eu,LIBE,,efd,0.35,,+33388175920,United Kingdom Independence Party,+3222845920,28497,,,+3222849920,,,,,,,,,,,,,,,,,
fr,,+33388179848,Non-attached Members,Nicolas BAY,nicolasbayfn,,http://www.europarl.europa.eu/meps/en/124760/NICOLAS_BAY_home.html,France,http://www.europarl.europa.eu/mepphoto/124760.jpg,nicolas.bay@europarl.europa.eu,ITRE,DACP,ni,0.8,,+33388175848,Front national,+3222845848,124760,AFET,D-IL,+3222849848,,,DMED,,,,,,,,,,,,,,
be,http://www.huguesbayet.be/,+33388179791,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Hugues BAYET,,,http://www.europarl.europa.eu/meps/en/125002/HUGUES_BAYET_home.html,Belgium,http://www.europarl.europa.eu/mepphoto/125002.jpg,hugues.bayet@europarl.europa.eu,ECON,TAXE,sd,0.3,,+33388175791,Parti Socialiste,+3222845791,125002,LIBE,DMAG,+3222849791,,,D-TR,,,,,,,,,,,,,,
gb,http://www.bearder.eu,+33388179632,Group of the Alliance of Liberals and Democrats for Europe,Catherine BEARDER,catherinemep,,http://www.europarl.europa.eu/meps/en/96955/CATHERINE_BEARDER_home.html,United Kingdom,http://www.europarl.europa.eu/mepphoto/96955.jpg,catherine.bearder@europarl.europa.eu,ENVI,FEMM,aldeadle,0.3,http://www.facebook.com/profile.php?id=754495056,+33388175632,Liberal Democrats,+3222845632,96955,DEVE,D-ZA,+3222849632,,,DACP,,,,,,,,,,,,,,
es,,+33388179312,Group of the Alliance of Liberals and Democrats for Europe,Beatriz BECERRA BASTERRECHEA,beatrizbeccerab,,http://www.europarl.europa.eu/meps/en/125040/BEATRIZ_BECERRA+BASTERRECHEA_home.html,Spain,http://www.europarl.europa.eu/mepphoto/125040.jpg,beatriz.becerra@europarl.europa.eu,DEVE,FEMM,aldeadle,0.3,,+33388175312,"Unión, Progreso y Democracia",+3222845312,125040,D-JP,,+3222849312,,,PETI,DROI,,D-MX,,DLAT,,,,,,,,,
at,http://becker-europa.eu/,+33388179288,Group of the European People's Party (Christian Democrats),Heinz K. BECKER,,,http://www.europarl.europa.eu/meps/en/107041/HEINZ+K._BECKER_home.html,Austria,http://www.europarl.europa.eu/mepphoto/107041.jpg,heinzk.becker@europarl.europa.eu,LIBE,PETI,epp,0.4,https://www.facebook.com/heinzkurtbecker,+33388175288,Österreichische Volkspartei,+3222845288,107041,EMPL,D-CA,+3222849288,,,DPLC,DMED,,,,,,,,,,,,,
it,,+33388179924,Europe of Freedom and Direct Democracy Group,Tiziana BEGHIN,beghin_t,,http://www.europarl.europa.eu/meps/en/124777/TIZIANA_BEGHIN_home.html,Italy,http://www.europarl.europa.eu/mepphoto/124777.jpg,tiziana.beghin@europarl.europa.eu,INTA,EMPL,efd,0.5,,+33388175924,Movimento 5 Stelle,+3222845924,124777,IMCO,D-TR,+3222849924,D-RU,D-US,D-IN,DANZ,D-ZA,DMED,,,DPAP,,,,,,,,
nl,http://eurofractie.sgp.nl,+33388179270,European Conservatives and Reformists Group,Bas BELDER,eurofractiesgp,D-IL,http://www.europarl.europa.eu/meps/en/4507/BAS_BELDER_home.html,Netherlands,http://www.europarl.europa.eu/mepphoto/4507.jpg,bastiaan.belder@europarl.europa.eu,AFET,,ecr,0.1,,+33388175270,Staatkundig Gereformeerde Partij,+3222845270,4507,AGRI,,+3222849270,,,,,,,,,,,,,,,,,
be,http://www.ivobelet.eu,+33388179623,Group of the European People's Party (Christian Democrats),Ivo BELET,ivobelet,,http://www.europarl.europa.eu/meps/en/28257/IVO_BELET_home.html,Belgium,http://www.europarl.europa.eu/mepphoto/28257.jpg,ivo.belet@europarl.europa.eu,ENVI,D-IN,epp,0.4,https://www.facebook.com/ivo.belet,+33388175623,Christen-Democratisch & Vlaams,+3222845623,28257,TRAN,SEDE,+3222849623,D-US,DNAT,,,,,,,,,,,,,,,
dk,,+33388179125,Group of the European People's Party (Christian Democrats),Bendt BENDTSEN,BendtEU,,http://www.europarl.europa.eu/meps/en/96705/BENDT_BENDTSEN_home.html,Denmark,http://www.europarl.europa.eu/mepphoto/96705.jpg,bendt.bendtsen@europarl.europa.eu,ITRE,D-CN,epp,0.9,https://www.facebook.com/bendtbendtsen,+33388175125,Det Konservative Folkeparti,+3222845125,96705,INTA,D-US,+3222849125,,,,,,,,,,,,,,,,,
it,http://www.brandobenifei.it/,+33388179644,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Brando BENIFEI,brandobenifei,,http://www.europarl.europa.eu/meps/en/124867/BRANDO_BENIFEI_home.html,Italy,http://www.europarl.europa.eu/mepphoto/124867.jpg,brando.benifei@europarl.europa.eu,EMPL,DCAS,sd,0.3,,+33388175644,Partito Democratico,+3222845644,124867,AFET,DPLC,+3222849644,,,,,,,,,,,,,,,,,
fr,http://www.pervenche-beres.fr,+33388179777,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Pervenche BERÈS,PervencheBeres,,http://www.europarl.europa.eu/meps/en/1985/PERVENCHE_BERES_home.html,France,http://www.europarl.europa.eu/mepphoto/1985.jpg,pervenche.beres@europarl.europa.eu,ECON,D-US,sd,0.5,,+33388175777,Parti socialiste,+3222845777,1985,ITRE,AFCO,+3222849777,TAXE,D-RU,,,,,,,,,,,,,,,
fr,,+33388179295,Europe of Freedom and Direct Democracy Group,Joëlle BERGERON,,,http://www.europarl.europa.eu/meps/en/124740/JOELLE_BERGERON_home.html,France,http://www.europarl.europa.eu/mepphoto/124740.jpg,joelle.bergeron@europarl.europa.eu,JURI,D-MX,efd,0.35,,+33388175295,Sans étiquette,+3222845295,124740,LIBE,D-CL,+3222849295,,,DLAT,,,,,,,,,,,,,,
it,,+33388179313,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Goffredo Maria BETTINI,GoffredoBettini,,http://www.europarl.europa.eu/meps/en/124819/GOFFREDO+MARIA_BETTINI_home.html,Italy,http://www.europarl.europa.eu/mepphoto/124819.jpg,goffredo.bettini@europarl.europa.eu,AFET,SEDE,sd,0.3,,+33388175313,Partito Democratico,+3222845313,124819,INTA,DSAS,+3222849313,,,DASE,,,,,,,,,,,,,,
es,http://www.izaskunbilbao.eu/,+33388179528,Group of the Alliance of Liberals and Democrats for Europe,Izaskun BILBAO BARANDICA,IzaskunBilbaoB,DAND,http://www.europarl.europa.eu/meps/en/96922/IZASKUN_BILBAO+BARANDICA_home.html,Spain,http://www.europarl.europa.eu/mepphoto/96922.jpg,izaskun.bilbaobarandica@europarl.europa.eu,TRAN,DLAT,aldeadle,0.3,http://www.facebook.com/izaskunbilbao,+33388175528,Partido Nacionalista Vasco,+3222845528,96922,PECH,FEMM,+3222849528,DARP,D-CN,,,,,,,,,,,,,,,
fr,http://bildemonteleurope.blogspot.fr/,+33388179742,Non-attached Members,Dominique BILDE,,,http://www.europarl.europa.eu/meps/en/124771/DOMINIQUE_BILDE_home.html,France,http://www.europarl.europa.eu/mepphoto/124771.jpg,dominique.bilde@europarl.europa.eu,CULT,DSEE,ni,0.5,,+33388175742,Front national,+3222845742,124771,ITRE,DACP,+3222849742,,,,,,,,,,,,,,,,,
it,http://www.marabizzotto.it,+33388179729,Non-attached Members,Mara BIZZOTTO,,,http://www.europarl.europa.eu/meps/en/97198/MARA_BIZZOTTO_home.html,Italy,http://www.europarl.europa.eu/mepphoto/97198.jpg,mara.bizzotto@europarl.europa.eu,EMPL,DANZ,ni,0.3,https://www.facebook.com/marabizzotto?ref=hl,+33388175729,Lega Nord,+3222845729,97198,AGRI,PETI,+3222849729,D-CA,,,,,,,,,,,,,,,,
se,,+33388179374,Confederal Group of the European United Left - Nordic Green Left,Malin BJÖRK,MalinBjork_EU,,http://www.europarl.europa.eu/meps/en/124992/MALIN_BJORK_home.html,Sweden,http://www.europarl.europa.eu/mepphoto/124992.jpg,malin.bjork@europarl.europa.eu,LIBE,FEMM,guengl,0.15,,+33388175374,Vänsterpartiet,+3222845374,124992,AFET,DSEE,+3222849374,DMAS,,D-IN,,,,,,,,,,,,,,
es,http://www.pepeblanco.es,+33388179378,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,José BLANCO LÓPEZ,,D-MX,http://www.europarl.europa.eu/meps/en/125044/JOSE_BLANCO+LOPEZ_home.html,Spain,http://www.europarl.europa.eu/mepphoto/125044.jpg,jose.blancolopez@europarl.europa.eu,REGI,DLAT,sd,0.5,,+33388175378,Partido Socialista Obrero Español,+3222845378,125044,ITRE,PECH,+3222849378,DCAR,DACP,,,,,,,,,,,,,,,
