"country_short","group","name","url","country","image","group_short","role","party","email"
"dk","Group of the European People's Party (Christian Democrats)","Bendt Bendtsen","http://www.europarl.europa.eu/meps/en/96705/BENDT_BENDTSEN.html","Denmark","http://www.europarl.europa.eu/mepphoto/96705.jpg","epp","Member","Det Konservative Folkeparti","bendt.bendtsen@europarl.europa.eu"
"it","Group of the European People's Party (Christian Democrats)","Fabrizio Bertot","http://www.europarl.europa.eu/meps/en/118709/FABRIZIO_BERTOT.html","Italy","http://www.europarl.europa.eu/mepphoto/118709.jpg","epp","Member","Il Popolo della Libertà","fabrizio.bertot@europarl.europa.eu"
"cz","Group of the European People's Party (Christian Democrats)","Jan Březina","http://www.europarl.europa.eu/meps/en/28354/JAN_BREZINA.html","Czech Republic","http://www.europarl.europa.eu/mepphoto/28354.jpg","epp","Member","-","jan.brezina@europarl.europa.eu"
"de","Group of the Greens/European Free Alliance","Reinhard Bütikofer","http://www.europarl.europa.eu/meps/en/96739/REINHARD_BUTIKOFER.html","Germany","http://www.europarl.europa.eu/mepphoto/96739.jpg","greensefa","Member","Bündnis 90/Die Grünen","reinhard.buetikofer@europarl.europa.eu"
"pt","Group of the European People's Party (Christian Democrats)","Maria Da Graça Carvalho","http://www.europarl.europa.eu/meps/en/96867/MARIA DA GRACA_CARVALHO.html","Portugal","http://www.europarl.europa.eu/mepphoto/96867.jpg","epp","Member","Partido Social Democrata","mariadagraca.carvalho@europarl.europa.eu"
"es","Group of the European People's Party (Christian Democrats)","Pilar Del Castillo Vera","http://www.europarl.europa.eu/meps/en/28390/PILAR_DEL CASTILLO VERA.html","Spain","http://www.europarl.europa.eu/mepphoto/28390.jpg","epp","Member","Partido Popular","pilar.delcastillo@europarl.europa.eu"
"gb","European Conservatives and Reformists Group","Giles Chichester","http://www.europarl.europa.eu/meps/en/2097/GILES_CHICHESTER.html","United Kingdom","http://www.europarl.europa.eu/mepphoto/2097.jpg","ecr","Member","Conservative Party","giles.chichester@europarl.europa.eu"
"de","Group of the Alliance of Liberals and Democrats for Europe","Jürgen Creutzmann","http://www.europarl.europa.eu/meps/en/96873/JURGEN_CREUTZMANN.html","Germany","http://www.europarl.europa.eu/mepphoto/96873.jpg","aldeadle","Member","Freie Demokratische Partei","jurgen.creutzmann@europarl.europa.eu"
"ie","Group of the Alliance of Liberals and Democrats for Europe","Brian Crowley","http://www.europarl.europa.eu/meps/en/2109/BRIAN_CROWLEY.html","Ireland","http://www.europarl.europa.eu/mepphoto/2109.jpg","aldeadle","Member","Fianna Fáil Party","briancrowleymep@eircom.net"
"de","Group of the European People's Party (Christian Democrats)","Christian Ehler","http://www.europarl.europa.eu/meps/en/28226/CHRISTIAN_EHLER.html","Germany","http://www.europarl.europa.eu/mepphoto/28226.jpg","epp","Member","Christlich Demokratische Union Deutschlands","christian.ehler@europarl.europa.eu"
"gb","European Conservatives and Reformists Group","Vicky Ford","http://www.europarl.europa.eu/meps/en/96949/VICKY_FORD.html","United Kingdom","http://www.europarl.europa.eu/mepphoto/96949.jpg","ecr","Member","Conservative Party","vicky.ford@europarl.europa.eu"
"fr","Group of the European People's Party (Christian Democrats)","Gaston Franco","http://www.europarl.europa.eu/meps/en/96908/GASTON_FRANCO.html","France","http://www.europarl.europa.eu/mepphoto/96908.jpg","epp","Member","Union pour un Mouvement Populaire","gaston.franco@europarl.europa.eu"
"pl","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Adam Gierek","http://www.europarl.europa.eu/meps/en/28379/ADAM_GIEREK.html","Poland","http://www.europarl.europa.eu/mepphoto/28379.jpg","sd","Member","Unia Pracy","adam.gierek@europarl.europa.eu"
"de","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Norbert Glante","http://www.europarl.europa.eu/meps/en/1902/NORBERT_GLANTE.html","Germany","http://www.europarl.europa.eu/mepphoto/1902.jpg","sd","Member","Sozialdemokratische Partei Deutschlands","norbert.glante@europarl.europa.eu"
"lu","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Robert Goebbels","http://www.europarl.europa.eu/meps/en/4429/ROBERT_GOEBBELS.html","Luxembourg","http://www.europarl.europa.eu/mepphoto/4429.jpg","sd","Member","Parti ouvrier socialiste luxembourgeois","robert.goebbels@europarl.europa.eu"
"hu","Group of the European People's Party (Christian Democrats)","András Gyürk","http://www.europarl.europa.eu/meps/en/23816/ANDRAS_GYURK.html","Hungary","http://www.europarl.europa.eu/mepphoto/23816.jpg","epp","Member","Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt","andras.gyurk@europarl.europa.eu"
"gb","Group of the Alliance of Liberals and Democrats for Europe","Fiona Hall","http://www.europarl.europa.eu/meps/en/28477/FIONA_HALL.html","United Kingdom","http://www.europarl.europa.eu/mepphoto/28477.jpg","aldeadle","Member","Liberal Democrats Party","fiona.hall@europarl.europa.eu"
"fr","Confederal Group of the European United Left - Nordic Green Left","Jacky Hénin","http://www.europarl.europa.eu/meps/en/28215/JACKY_HENIN.html","France","http://www.europarl.europa.eu/mepphoto/28215.jpg","guengl","Member","Front de gauche pour changer d’Europe","jacky.henin@europarl.europa.eu"
"hu","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Edit Herczog","http://www.europarl.europa.eu/meps/en/28155/EDIT_HERCZOG.html","Hungary","http://www.europarl.europa.eu/mepphoto/28155.jpg","sd","Member","Magyar Szocialista Párt","edit.herczog@europarl.europa.eu"
"se","Group of the Alliance of Liberals and Democrats for Europe","Kent Johansson","http://www.europarl.europa.eu/meps/en/110365/KENT_JOHANSSON.html","Sweden","http://www.europarl.europa.eu/mepphoto/110365.jpg","aldeadle","Member","Centerpartiet","kent.johansson@europarl.europa.eu"
"si","Group of the European People's Party (Christian Democrats)","Romana Jordan","http://www.europarl.europa.eu/meps/en/28291/ROMANA_JORDAN.html","Slovenia","http://www.europarl.europa.eu/mepphoto/28291.jpg","epp","Member","Slovenska demokratska stranka","romana.jordan@europarl.europa.eu"
"lv","Group of the European People's Party (Christian Democrats)","Krišjānis Kariņš","http://www.europarl.europa.eu/meps/en/96901/KRISJANIS_KARINS.html","Latvia","http://www.europarl.europa.eu/mepphoto/96901.jpg","epp","Member","Vienotība","krisjanis.karins@europarl.europa.eu"
"hu","Non-attached Members","Béla Kovács","http://www.europarl.europa.eu/meps/en/102887/BELA_KOVACS.html","Hungary","http://www.europarl.europa.eu/mepphoto/102887.jpg","ni","Member","Jobbik Magyarországért Mozgalom","bela.kovacs@europarl.europa.eu"
"be","Group of the Greens/European Free Alliance","Philippe Lamberts","http://www.europarl.europa.eu/meps/en/96648/PHILIPPE_LAMBERTS.html","Belgium","http://www.europarl.europa.eu/mepphoto/96648.jpg","greensefa","Member","Ecologistes Confédérés pour l'Organisation de Luttes Originales","philippe.lamberts@europarl.europa.eu"
"pl","Group of the European People's Party (Christian Democrats)","Bogdan Kazimierz Marcinkiewicz","http://www.europarl.europa.eu/meps/en/96792/BOGDAN KAZIMIERZ_MARCINKIEWICZ.html","Poland","http://www.europarl.europa.eu/mepphoto/96792.jpg","epp","Member","Platforma Obywatelska","bogdan.marcinkiewicz@europarl.europa.eu"
"pt","Confederal Group of the European United Left - Nordic Green Left","Marisa Matias","http://www.europarl.europa.eu/meps/en/96820/MARISA_MATIAS.html","Portugal","http://www.europarl.europa.eu/mepphoto/96820.jpg","guengl","Member","Bloco de Esquerda","marisa.matias@europarl.europa.eu"
"nl","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Judith A. Merkies","http://www.europarl.europa.eu/meps/en/96910/JUDITH A._MERKIES.html","Netherlands","http://www.europarl.europa.eu/mepphoto/96910.jpg","sd","Member","Partij van de Arbeid","judith.merkies@europarl.europa.eu"
"de","Group of the European People's Party (Christian Democrats)","Angelika Niebler","http://www.europarl.europa.eu/meps/en/4289/ANGELIKA_NIEBLER.html","Germany","http://www.europarl.europa.eu/mepphoto/4289.jpg","epp","Member","Christlich-Soziale Union in Bayern e.V.","angelika.niebler@europarl.europa.eu"
"lt","Europe of freedom and democracy Group","Rolandas Paksas","http://www.europarl.europa.eu/meps/en/96694/ROLANDAS_PAKSAS.html","Lithuania","http://www.europarl.europa.eu/mepphoto/96694.jpg","efd","Member","Partija Tvarka ir teisingumas","rolandas.paksas@europarl.europa.eu"
"sk","Europe of freedom and democracy Group","Jaroslav Paška","http://www.europarl.europa.eu/meps/en/96654/JAROSLAV_PASKA.html","Slovakia","http://www.europarl.europa.eu/mepphoto/96654.jpg","efd","Member","Slovenská národná strana","jaroslav.paska@europarl.europa.eu"
"it","Group of the European People's Party (Christian Democrats)","Aldo Patriciello","http://www.europarl.europa.eu/meps/en/36392/ALDO_PATRICIELLO.html","Italy","http://www.europarl.europa.eu/mepphoto/36392.jpg","epp","Member","Forza Italia","aldo.patriciello@europarl.europa.eu"
"it","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Vittorio Prodi","http://www.europarl.europa.eu/meps/en/28370/VITTORIO_PRODI.html","Italy","http://www.europarl.europa.eu/mepphoto/28370.jpg","sd","Member","Partito Democratico","vittorio.prodi@europarl.europa.eu"
"cz","Confederal Group of the European United Left - Nordic Green Left","Miloslav Ransdorf","http://www.europarl.europa.eu/meps/en/23706/MILOSLAV_RANSDORF.html","Czech Republic","http://www.europarl.europa.eu/mepphoto/23706.jpg","guengl","Member","Komunistická strana Čech a Moravy","miloslav.ransdorf@europarl.europa.eu"
"de","Group of the European People's Party (Christian Democrats)","Herbert Reul","http://www.europarl.europa.eu/meps/en/28225/HERBERT_REUL.html","Germany","http://www.europarl.europa.eu/mepphoto/28225.jpg","epp","Member","Christlich Demokratische Union Deutschlands","herbert.reul@europarl.europa.eu"
"es","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Teresa Riera Madurell","http://www.europarl.europa.eu/meps/en/28349/TERESA_RIERA MADURELL.html","Spain","http://www.europarl.europa.eu/mepphoto/28349.jpg","sd","Member","Partido Socialista Obrero Español","teresa.rieramadurell@europarl.europa.eu"
"fr","Group of the Greens/European Free Alliance","Michèle Rivasi","http://www.europarl.europa.eu/meps/en/96743/MICHELE_RIVASI.html","France","http://www.europarl.europa.eu/mepphoto/96743.jpg","greensefa","Member","Europe Écologie","michele.rivasi@europarl.europa.eu"
"at","Group of the European People's Party (Christian Democrats)","Paul Rübig","http://www.europarl.europa.eu/meps/en/2278/PAUL_RUBIG.html","Austria","http://www.europarl.europa.eu/mepphoto/2278.jpg","epp","Member","Österreichische Volkspartei","paul.ruebig@europarl.europa.eu"
"es","Group of the European People's Party (Christian Democrats)","Salvador Sedó I Alabart","http://www.europarl.europa.eu/meps/en/111018/SALVADOR_SEDO I ALABART.html","Spain","http://www.europarl.europa.eu/mepphoto/111018.jpg","epp","Member","Unió Democràtica de Catalunya","salvador.sedo@europarl.europa.eu"
"es","Non-attached Members","Francisco Sosa Wagner","http://www.europarl.europa.eu/meps/en/97170/FRANCISCO_SOSA WAGNER.html","Spain","http://www.europarl.europa.eu/mepphoto/97170.jpg","ni","Member","Unión, Progreso y Democracia","francisco.sosawagner@europarl.europa.eu"
"pl","European Conservatives and Reformists Group","Konrad Szymański","http://www.europarl.europa.eu/meps/en/28358/KONRAD_SZYMANSKI.html","Poland","http://www.europarl.europa.eu/mepphoto/28358.jpg","ecr","Member","Prawo i Sprawiedliwość","konrad.szymanski@europarl.europa.eu"
"dk","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Britta Thomsen","http://www.europarl.europa.eu/meps/en/28153/BRITTA_THOMSEN.html","Denmark","http://www.europarl.europa.eu/mepphoto/28153.jpg","sd","Member","Socialdemokratiet","britta.thomsen@europarl.europa.eu"
"fr","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Catherine Trautmann","http://www.europarl.europa.eu/meps/en/1129/CATHERINE_TRAUTMANN.html","France","http://www.europarl.europa.eu/mepphoto/1129.jpg","sd","Member","Parti socialiste","catherine.trautmann@europarl.europa.eu"
"gr","Group of the European People's Party (Christian Democrats)","Ioannis A. Tsoukalas","http://www.europarl.europa.eu/meps/en/96898/IOANNIS A._TSOUKALAS.html","Greece","http://www.europarl.europa.eu/mepphoto/96898.jpg","epp","Member","Nea Demokratia","ioannis.tsoukalas@europarl.europa.eu"
"lu","Group of the Greens/European Free Alliance","Claude Turmes","http://www.europarl.europa.eu/meps/en/4432/CLAUDE_TURMES.html","Luxembourg","http://www.europarl.europa.eu/mepphoto/4432.jpg","greensefa","Member","Déi Gréng - Les Verts","null"
"gr","Europe of freedom and democracy Group","Niki Tzavela","http://www.europarl.europa.eu/meps/en/96660/NIKI_TZAVELA.html","Greece","http://www.europarl.europa.eu/mepphoto/96660.jpg","efd","Member","Popular Orthodox Rally - G. Karatzaferis","niki.tzavela@europarl.europa.eu"
"se","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Marita Ulvskog","http://www.europarl.europa.eu/meps/en/96672/MARITA_ULVSKOG.html","Sweden","http://www.europarl.europa.eu/mepphoto/96672.jpg","sd","Member","Arbetarepartiet- Socialdemokraterna","marita.ulvskog@europarl.europa.eu"
"bg","Group of the European People's Party (Christian Democrats)","Vladimir Urutchev","http://www.europarl.europa.eu/meps/en/38601/VLADIMIR_URUTCHEV.html","Bulgaria","http://www.europarl.europa.eu/mepphoto/38601.jpg","epp","Member","Citizens for European Development of Bulgaria","vladimir.urutchev@europarl.europa.eu"
"ro","Group of the Alliance of Liberals and Democrats for Europe","Adina-Ioana Vălean","http://www.europarl.europa.eu/meps/en/37324/ADINA-IOANA_VALEAN.html","Romania","http://www.europarl.europa.eu/mepphoto/37324.jpg","aldeadle","Member","Partidul Naţional Liberal","adinaioana.valean@europarl.europa.eu"
"be","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Kathleen Van Brempt","http://www.europarl.europa.eu/meps/en/5729/KATHLEEN_VAN BREMPT.html","Belgium","http://www.europarl.europa.eu/mepphoto/5729.jpg","sd","Member","Socialistische Partij.Anders","kathleen.vanbrempt@europarl.europa.eu"
"es","Group of the European People's Party (Christian Democrats)","Alejo Vidal-Quadras","http://www.europarl.europa.eu/meps/en/4308/ALEJO_VIDAL-QUADRAS.html","Spain","http://www.europarl.europa.eu/mepphoto/4308.jpg","epp","Member","Partido Popular","alejo.vidal-quadras@europarl.europa.eu"
"nl","Group of the Alliance of Liberals and Democrats for Europe","Johannes Cornelis Van Baalen","http://www.europarl.europa.eu/meps/en/96937/JOHANNES CORNELIS_VAN BAALEN.html","Netherlands","http://www.europarl.europa.eu/mepphoto/96937.jpg","aldeadle","Substitute","Volkspartij voor Vrijheid en Democratie","hans.vanbaalen@europarl.europa.eu"
"es","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Maria Badia I Cutchet","http://www.europarl.europa.eu/meps/en/28342/MARIA_BADIA I CUTCHET.html","Spain","http://www.europarl.europa.eu/mepphoto/28342.jpg","sd","Substitute","Partit dels Socialistes de Catalunya","maria.badiaicutchet@europarl.europa.eu"
"it","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Luigi Berlinguer","http://www.europarl.europa.eu/meps/en/97156/LUIGI_BERLINGUER.html","Italy","http://www.europarl.europa.eu/mepphoto/97156.jpg","sd","Substitute","Partito Democratico","luigi.berlinguer@europarl.europa.eu"
"pl","Group of the European People's Party (Christian Democrats)","Jerzy Buzek","http://www.europarl.europa.eu/meps/en/28269/JERZY_BUZEK.html","Poland","http://www.europarl.europa.eu/mepphoto/28269.jpg","epp","Substitute","Platforma Obywatelska","jerzy.buzek@europarl.europa.eu"
"it","Group of the European People's Party (Christian Democrats)","Antonio Cancian","http://www.europarl.europa.eu/meps/en/96733/ANTONIO_CANCIAN.html","Italy","http://www.europarl.europa.eu/mepphoto/96733.jpg","epp","Substitute","Nuovo Centrodestra","antonio.cancian@europarl.europa.eu"
"de","Group of the European People's Party (Christian Democrats)","Daniel Caspary","http://www.europarl.europa.eu/meps/en/28219/DANIEL_CASPARY.html","Germany","http://www.europarl.europa.eu/mepphoto/28219.jpg","epp","Substitute","Christlich Demokratische Union Deutschlands","daniel.caspary@europarl.europa.eu"
"fr","Group of the Greens/European Free Alliance","Yves Cochet","http://www.europarl.europa.eu/meps/en/1202/YVES_COCHET.html","France","http://www.europarl.europa.eu/mepphoto/1202.jpg","greensefa","Substitute","Europe Écologie","yves.cochet@europarl.europa.eu"
"it","Group of the European People's Party (Christian Democrats)","Lara Comi","http://www.europarl.europa.eu/meps/en/96775/LARA_COMI.html","Italy","http://www.europarl.europa.eu/mepphoto/96775.jpg","epp","Substitute","Il Popolo della Libertà","lara.comi@europarl.europa.eu"
"pt","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","António Fernando Correia De Campos","http://www.europarl.europa.eu/meps/en/96975/ANTONIO FERNANDO_CORREIA DE CAMPOS.html","Portugal","http://www.europarl.europa.eu/mepphoto/96975.jpg","sd","Substitute","Parti socialiste","antonio.campos@europarl.europa.eu"
"nl","European Conservatives and Reformists Group","Peter Van Dalen","http://www.europarl.europa.eu/meps/en/96809/PETER_VAN DALEN.html","Netherlands","http://www.europarl.europa.eu/mepphoto/96809.jpg","ecr","Substitute","ChristenUnie","peter.vandalen@europarl.europa.eu"
"fr","Group of the European People's Party (Christian Democrats)","Rachida Dati","http://www.europarl.europa.eu/meps/en/72775/RACHIDA_DATI.html","France","http://www.europarl.europa.eu/mepphoto/72775.jpg","epp","Substitute","Union pour un Mouvement Populaire","rachida.dati@europarl.europa.eu"
"it","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Francesco De Angelis","http://www.europarl.europa.eu/meps/en/96887/FRANCESCO_DE ANGELIS.html","Italy","http://www.europarl.europa.eu/mepphoto/96887.jpg","sd","Substitute","Partito Democratico","francesco.deangelis@europarl.europa.eu"
"ro","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Ioan Enciu","http://www.europarl.europa.eu/meps/en/96859/IOAN_ENCIU.html","Romania","http://www.europarl.europa.eu/mepphoto/96859.jpg","sd","Substitute","Partidul Social Democrat","ioan.enciu@europarl.europa.eu"
"es","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Vicente Miguel Garcés Ramón","http://www.europarl.europa.eu/meps/en/39321/VICENTE MIGUEL_GARCES RAMON.html","Spain","http://www.europarl.europa.eu/mepphoto/39321.jpg","sd","Substitute","Partido Socialista Obrero Español","vicente.garcesramon@europarl.europa.eu"
"it","Group of the European People's Party (Christian Democrats)","Elisabetta Gardini","http://www.europarl.europa.eu/meps/en/58758/ELISABETTA_GARDINI.html","Italy","http://www.europarl.europa.eu/mepphoto/58758.jpg","epp","Substitute","Forza Italia","elisabetta.gardini@europarl.europa.eu"
"gb","Non-attached Members","Nick Griffin","http://www.europarl.europa.eu/meps/en/96751/NICK_GRIFFIN.html","United Kingdom","http://www.europarl.europa.eu/mepphoto/96751.jpg","ni","Substitute","British National Party","nick.griffin@europarl.europa.eu"
"pl","European Conservatives and Reformists Group","Marek Józef Gróbarczyk","http://www.europarl.europa.eu/meps/en/96790/MAREK JOZEF_GROBARCZYK.html","Poland","http://www.europarl.europa.eu/mepphoto/96790.jpg","ecr","Substitute","Prawo i Sprawiedliwość","marekjozef.grobarczyk@europarl.europa.eu"
"de","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Matthias Groote","http://www.europarl.europa.eu/meps/en/34728/MATTHIAS_GROOTE.html","Germany","http://www.europarl.europa.eu/mepphoto/34728.jpg","sd","Substitute","Sozialdemokratische Partei Deutschlands","matthias.groote@europarl.europa.eu"
"fr","Group of the European People's Party (Christian Democrats)","Françoise Grossetête","http://www.europarl.europa.eu/meps/en/2025/FRANCOISE_GROSSETETE.html","France","http://www.europarl.europa.eu/mepphoto/2025.jpg","epp","Substitute","Union pour un Mouvement Populaire","francoise.grossetete@europarl.europa.eu"
"pl","Group of the European People's Party (Christian Democrats)","Andrzej Grzyb","http://www.europarl.europa.eu/meps/en/23785/ANDRZEJ_GRZYB.html","Poland","http://www.europarl.europa.eu/mepphoto/23785.jpg","epp","Substitute","Polskie Stronnictwo Ludowe","andrzej.grzyb@europarl.europa.eu"
"es","Group of the European People's Party (Christian Democrats)","Cristina Gutiérrez-Cortines","http://www.europarl.europa.eu/meps/en/4326/CRISTINA_GUTIERREZ-CORTINES.html","Spain","http://www.europarl.europa.eu/mepphoto/4326.jpg","epp","Substitute","Partido Popular","cristina.gutierrez-cortines@europarl.europa.eu"
"cy","Confederal Group of the European United Left - Nordic Green Left","Takis Hadjigeorgiou","http://www.europarl.europa.eu/meps/en/96907/TAKIS_HADJIGEORGIOU.html","Cyprus","http://www.europarl.europa.eu/mepphoto/96907.jpg","guengl","Substitute","Progressive Party of Working People - Left - New Forces","takis.hadjigeorgiou@europarl.europa.eu"
"de","Group of the Greens/European Free Alliance","Rebecca Harms","http://www.europarl.europa.eu/meps/en/28233/REBECCA_HARMS.html","Germany","http://www.europarl.europa.eu/mepphoto/28233.jpg","greensefa","Substitute","Bündnis 90/Die Grünen","rebecca.harms@europarl.europa.eu"
"fi","Group of the Greens/European Free Alliance","Satu Hassi","http://www.europarl.europa.eu/meps/en/28321/SATU_HASSI.html","Finland","http://www.europarl.europa.eu/mepphoto/28321.jpg","greensefa","Substitute","Vihreä liitto","satu.hassi@europarl.europa.eu"
"gb","Europe of freedom and democracy Group","Roger Helmer","http://www.europarl.europa.eu/meps/en/4516/ROGER_HELMER.html","United Kingdom","http://www.europarl.europa.eu/mepphoto/4516.jpg","efd","Substitute","United Kingdom Independence Party","roger.helmer@europarl.europa.eu"
"pl","Group of the European People's Party (Christian Democrats)","Jolanta Emilia Hibner","http://www.europarl.europa.eu/meps/en/96753/JOLANTA EMILIA_HIBNER.html","Poland","http://www.europarl.europa.eu/mepphoto/96753.jpg","epp","Substitute","Platforma Obywatelska","jolantaemilia.hibner@europarl.europa.eu"
"se","Group of the European People's Party (Christian Democrats)","Gunnar Hökmark","http://www.europarl.europa.eu/meps/en/28124/GUNNAR_HOKMARK.html","Sweden","http://www.europarl.europa.eu/mepphoto/28124.jpg","epp","Substitute","Moderata Samlingspartiet","gunnar.hokmark@europarl.europa.eu"
"fr","Group of the Greens/European Free Alliance","Yannick Jadot","http://www.europarl.europa.eu/meps/en/96740/YANNICK_JADOT.html","France","http://www.europarl.europa.eu/mepphoto/96740.jpg","greensefa","Substitute","Europe Écologie","yannick.jadot@europarl.europa.eu"
"bg","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Ivailo Kalfin","http://www.europarl.europa.eu/meps/en/96807/IVAILO_KALFIN.html","Bulgaria","http://www.europarl.europa.eu/mepphoto/96807.jpg","sd","Substitute","Coalition for Bulgaria","ivailo.kalfin@europarl.europa.eu"
"gb","European Conservatives and Reformists Group","Sajjad Karim","http://www.europarl.europa.eu/meps/en/28481/SAJJAD_KARIM.html","United Kingdom","http://www.europarl.europa.eu/mepphoto/28481.jpg","ecr","Substitute","Conservative Party","sajjad.karim@europarl.europa.eu"
"ie","Group of the European People's Party (Christian Democrats)","Seán Kelly","http://www.europarl.europa.eu/meps/en/96668/SEAN_KELLY.html","Ireland","http://www.europarl.europa.eu/mepphoto/96668.jpg","epp","Substitute","Fine Gael Party","sean.kelly@europarl.europa.eu"
"fi","Group of the European People's Party (Christian Democrats)","Eija-Riitta Korhola","http://www.europarl.europa.eu/meps/en/4260/EIJA-RIITTA_KORHOLA.html","Finland","http://www.europarl.europa.eu/mepphoto/4260.jpg","epp","Substitute","Kansallinen Kokoomus","eija-riitta.korhola@europarl.europa.eu"
"pl","European Conservatives and Reformists Group","Paweł Robert Kowal","http://www.europarl.europa.eu/meps/en/96793/PAWEL ROBERT_KOWAL.html","Poland","http://www.europarl.europa.eu/mepphoto/96793.jpg","ecr","Substitute","Polska Jest Najważniejsza","biuro@pawelkowal.pl"
"de","Group of the Alliance of Liberals and Democrats for Europe","Holger Krahmer","http://www.europarl.europa.eu/meps/en/28247/HOLGER_KRAHMER.html","Germany","http://www.europarl.europa.eu/mepphoto/28247.jpg","aldeadle","Substitute","Freie Demokratische Partei","holger.krahmer@europarl.europa.eu"
"de","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Bernd Lange","http://www.europarl.europa.eu/meps/en/1909/BERND_LANGE.html","Germany","http://www.europarl.europa.eu/mepphoto/1909.jpg","sd","Substitute","Sozialdemokratische Partei Deutschlands","bernd.lange@europarl.europa.eu"
"de","Group of the European People's Party (Christian Democrats)","Werner Langen","http://www.europarl.europa.eu/meps/en/1928/WERNER_LANGEN.html","Germany","http://www.europarl.europa.eu/mepphoto/1928.jpg","epp","Substitute","Christlich Demokratische Union Deutschlands","werner.langen@europarl.europa.eu"
